tx_price,beds,baths,sqft,year_built,lot_size,basement,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,lifestyle_avg,two_and_two,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Other,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,exterior_walls_missing,roof_Asphalt,roof_Composition Shingle,roof_Other,roof_Shake Shingle,roof_missing,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
216250.0,1.0,1.0,712.0,1944.0,0.0,0.0,36.0,23.0,90.0,187.0,64.0,6.0,3.0,2004.0,0.9552838308536122,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
270000.0,1.0,1.0,722.0,1985.0,0.0,1.0,33.0,48.0,85.0,218.0,66.0,4.0,3.0,2005.0,0.5947247202790167,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
235000.0,1.0,1.0,723.0,2005.0,0.0,1.0,31.0,30.0,99.0,278.0,85.0,8.0,3.0,2009.0,0.8041318254856782,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
225000.0,1.0,1.0,724.0,1958.0,0.0,0.0,57.0,13.0,83.0,118.0,41.0,6.0,3.0,2009.0,1.9744136966717092,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
370000.0,1.0,1.0,725.0,2006.0,0.0,0.0,36.0,25.0,91.0,306.0,106.0,9.0,3.0,2011.0,2.4902259869508105,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
232000.0,1.0,1.0,736.0,1998.0,0.0,1.0,36.0,47.0,83.0,243.0,74.0,8.0,3.0,2008.0,-0.05235677073811624,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
281900.0,1.0,1.0,737.0,2000.0,0.0,1.0,32.0,34.0,50.0,229.0,69.0,4.0,3.0,2005.0,0.8831112179623248,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
355000.0,1.0,1.0,740.0,2000.0,0.0,0.0,36.0,25.0,91.0,298.0,103.0,9.0,3.0,2006.0,2.6182734313405844,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
350000.0,1.0,1.0,741.0,2006.0,0.0,0.0,36.0,25.0,91.0,291.0,101.0,9.0,3.0,2009.0,2.4902259869508105,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
231900.0,1.0,1.0,750.0,1964.0,0.0,0.0,35.0,63.0,70.0,118.0,41.0,7.0,3.0,2005.0,1.0106534643543874,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
284000.0,1.0,1.0,755.0,1996.0,0.0,1.0,40.0,64.0,77.0,258.0,78.0,10.0,3.0,2012.0,-0.023254770139243854,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
255000.0,1.0,1.0,759.0,1959.0,0.0,0.0,31.0,23.0,81.0,190.0,66.0,9.0,3.0,2012.0,2.109692804223438,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
285850.0,1.0,1.0,759.0,2006.0,0.0,1.0,31.0,30.0,99.0,266.0,81.0,8.0,3.0,2006.0,0.8191247555326346,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
249298.0,1.0,1.0,759.0,2012.0,0.0,1.0,27.0,38.0,35.0,251.0,76.0,5.0,3.0,2012.0,-0.003921444931269405,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
380000.0,1.0,1.0,760.0,1991.0,0.0,0.0,31.0,13.0,84.0,291.0,101.0,8.0,3.0,2011.0,2.775526142370038,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
244800.0,1.0,1.0,767.0,1944.0,0.0,0.0,34.0,44.0,90.0,190.0,66.0,6.0,3.0,2011.0,0.8474830335199555,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
397400.0,1.0,1.0,771.0,2005.0,111513.0,0.0,33.0,40.0,96.0,345.0,119.0,5.0,3.0,2005.0,2.879651908483981,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
345000.0,1.0,1.0,781.0,2006.0,0.0,0.0,33.0,35.0,72.0,284.0,98.0,6.0,3.0,2007.0,0.7278154949821947,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
220000.0,1.0,1.0,792.0,1987.0,0.0,1.0,35.0,50.0,82.0,221.0,67.0,8.0,3.0,2009.0,-0.12511329380585764,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
279000.0,1.0,1.0,796.0,1986.0,0.0,1.0,64.0,52.0,63.0,286.0,87.0,8.0,3.0,2014.0,2.1045013579284504,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
286900.0,1.0,1.0,797.0,2005.0,0.0,1.0,32.0,69.0,70.0,184.0,56.0,7.0,3.0,2006.0,0.45861615162324654,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
